School Name,Reg No,Roll No,Class ,Section ,Student Name,Date of Birth,Gender,Fathers Name,Mothers name,Parent Contact No
School Name,Reg No,Roll No,Class ,Section ,Student Name,Date of Birth,Gender,Fathers Name,Mothers name,Parent Contact No
School Name,Reg No,Roll No,Class ,Section ,Student Name,Date of Birth,Gender,Fathers Name,Mothers name,Parent Contact No
School Name,Reg No,Roll No,Class ,Section ,Student Name,Date of Birth,Gender,Fathers Name,Mothers name,Parent Contact No
School Name,Reg No,Roll No,Class ,Section ,Student Name,Date of Birth,Gender,Fathers Name,Mothers name,Parent Contact No
School Name,Reg No,Roll No,Class ,Section ,Student Name,Date of Birth,Gender,Fathers Name,Mothers name,Parent Contact No
School Name,Reg No,Roll No,Class ,Section ,Student Name,Date of Birth,Gender,Fathers Name,Mothers name,Parent Contact No
School Name,Reg No,Roll No,Class ,Section ,Student Name,Date of Birth,Gender,Fathers Name,Mothers name,Parent Contact No
School Name,Reg No,Roll No,Class ,Section ,Student Name,Date of Birth,Gender,Fathers Name,Mothers name,Parent Contact No
School Name,Reg No,Roll No,Class ,Section ,Student Name,Date of Birth,Gender,Fathers Name,Mothers name,Parent Contact No
School Name,Reg No,Roll No,Class ,Section ,Student Name,Date of Birth,Gender,Fathers Name,Mothers name,Parent Contact No
School Name,Reg No,Roll No,Class ,Section ,Student Name,Date of Birth,Gender,Fathers Name,Mothers name,Parent Contact No
School Name,Reg No,Roll No,Class ,Section ,Student Name,Date of Birth,Gender,Fathers Name,Mothers name,Parent Contact No
